Date,Time,bioTime,dayOrNight,Relative Humidity,Temperature
02-10-13,12:13:19,06:01:38,day,28.8,36.9
02-10-13,12:14:19,06:02:38,day,29.2,36.7
02-10-13,12:16:20,06:04:39,day,29.1,36.7
02-10-13,12:17:21,06:05:40,day,27.2,36.9
02-10-13,12:18:21,06:06:40,day,27.9,37
02-10-13,12:19:22,06:07:41,day,28.1,37.1
02-10-13,12:20:23,06:08:42,day,26.7,37.1
02-10-13,12:21:23,06:09:42,day,28,37.1
02-10-13,12:22:24,06:10:44,day,26.9,36.9
02-10-13,12:23:24,06:11:44,day,26.5,37.1
02-10-13,12:24:25,06:12:45,day,26.6,37.3
02-10-13,12:25:25,06:13:45,day,27.6,37.2
02-10-13,12:26:26,06:14:46,day,27.4,37.4
02-10-13,12:27:26,06:15:46,day,26.7,37.5
02-10-13,12:28:27,06:16:47,day,26.4,37.6
02-10-13,12:30:28,06:18:48,day,25.5,37.5
02-10-13,12:31:29,06:19:49,day,26.3,37.4
02-10-13,12:32:29,06:20:49,day,25.1,37.6
02-10-13,12:33:30,06:21:50,day,26.1,37.7
02-10-13,12:34:30,06:22:50,day,25.8,37.7
02-10-13,12:35:31,06:23:51,day,25.7,37.6
02-10-13,12:36:31,06:24:51,day,28.3,37.4
02-10-13,12:37:32,06:25:52,day,25,37.4
02-10-13,12:38:32,06:26:52,day,26.5,37.4
02-10-13,12:39:33,06:27:54,day,27.2,37.5
02-10-13,12:40:33,06:28:54,day,27.5,37.7
02-10-13,12:41:34,06:29:55,day,26.7,37.7
02-10-13,12:42:35,06:30:56,day,26.6,37.7
02-10-13,12:43:35,06:31:56,day,27.3,37.5
02-10-13,12:44:36,06:32:57,day,26.9,37.5
02-10-13,12:45:36,06:33:57,day,26.5,37.5
02-10-13,12:46:37,06:34:58,day,24.2,37.6
02-10-13,12:47:37,06:35:58,day,25.7,37.8
02-10-13,12:48:38,06:36:59,day,26,37.9
02-10-13,12:49:38,06:37:59,day,26.1,37.9
02-10-13,12:50:39,06:39:00,day,26.2,37.8
02-10-13,12:51:39,06:40:00,day,25.8,37.9
02-10-13,12:52:40,06:41:01,day,25.9,37.9
02-10-13,12:53:41,06:42:02,day,26.5,37.8
02-10-13,12:54:41,06:43:02,day,26.2,37.8
02-10-13,12:55:42,06:44:03,day,26.2,37.9
02-10-13,12:56:42,06:45:03,day,27,37.8
02-10-13,12:57:43,06:46:05,day,26.5,37.9
02-10-13,12:58:43,06:47:05,day,26.9,37.8
02-10-13,12:59:44,06:48:06,day,26.2,37.8
02-10-13,13:00:44,06:49:06,day,26.2,37.9
02-10-13,13:01:45,06:50:07,day,25.9,37.8
02-10-13,13:02:45,06:51:07,day,25.6,37.9
02-10-13,13:03:46,06:52:08,day,26.5,37.8
02-10-13,13:04:47,06:53:09,day,26.1,37.7
02-10-13,13:05:47,06:54:09,day,25.7,37.9
02-10-13,13:06:48,06:55:10,day,26,37.8
02-10-13,13:07:48,06:56:10,day,25.4,37.9
02-10-13,13:08:49,06:57:11,day,26.7,37.8
02-10-13,13:09:49,06:58:11,day,25.7,37.8
02-10-13,13:10:50,06:59:12,day,25.5,37.9
02-10-13,13:11:50,07:00:12,day,26.2,38
02-10-13,13:12:51,07:01:13,day,25.9,38
02-10-13,13:13:52,07:02:14,day,25.4,38
02-10-13,13:14:52,07:03:15,day,25.4,38.1
02-10-13,13:15:53,07:04:16,day,25.3,38.1
02-10-13,13:16:53,07:05:16,day,25.1,38.1
02-10-13,13:17:54,07:06:17,day,25.7,38
02-10-13,13:18:54,07:07:17,day,24.8,37.9
02-10-13,13:19:55,07:08:18,day,25.5,38
02-10-13,13:20:55,07:09:18,day,24.7,37.9
02-10-13,13:21:56,07:10:19,day,26.1,37.9
02-10-13,13:22:56,07:11:19,day,25.8,37.8
02-10-13,13:23:57,07:12:20,day,25.6,37.8
02-10-13,13:24:58,07:13:21,day,25.8,37.8
02-10-13,13:25:58,07:14:21,day,25.2,37.8
02-10-13,13:26:59,07:15:22,day,25.5,37.9
02-10-13,13:27:59,07:16:22,day,25.1,37.9
02-10-13,13:29:00,07:17:23,day,25.1,37.9
02-10-13,13:30:00,07:18:23,day,25.7,38
02-10-13,13:31:01,07:19:24,day,25.6,37.9
02-10-13,13:32:01,07:20:24,day,25.5,37.9
02-10-13,13:33:02,07:21:26,day,25.1,38
02-10-13,13:34:02,07:22:26,day,24.9,38.2
02-10-13,13:35:03,07:23:27,day,25.3,38.2
02-10-13,13:36:04,07:24:28,day,25.1,38.2
02-10-13,13:37:04,07:25:28,day,25.4,38.3
02-10-13,13:38:05,07:26:29,day,25.4,38.3
02-10-13,13:39:05,07:27:29,day,24.2,38.3
02-10-13,13:40:06,07:28:30,day,24.8,38.3
02-10-13,13:41:06,07:29:30,day,23.8,38.5
02-10-13,13:42:07,07:30:31,day,24.5,38.6
02-10-13,13:43:07,07:31:31,day,24.4,38.5
02-10-13,13:44:08,07:32:32,day,24.6,38.4
02-10-13,13:45:08,07:33:32,day,25.6,38.3
02-10-13,13:46:09,07:34:33,day,26.4,38.1
02-10-13,13:47:10,07:35:34,day,25.8,38.2
02-10-13,13:48:10,07:36:34,day,26,38.2
02-10-13,13:49:11,07:37:35,day,25.8,38.2
02-10-13,13:50:11,07:38:35,day,26.2,38.2
02-10-13,13:51:12,07:39:37,day,26.4,38.1
02-10-13,13:52:12,07:40:37,day,26.6,37.9
02-10-13,13:53:13,07:41:38,day,26.7,38
02-10-13,13:54:13,07:42:38,day,26.4,38
02-10-13,13:55:14,07:43:39,day,26.4,38
02-10-13,13:56:14,07:44:39,day,26.8,37.8
02-10-13,13:57:15,07:45:40,day,26.7,37.7
02-10-13,13:58:16,07:46:41,day,26.9,37.7
02-10-13,13:59:16,07:47:41,day,26.3,37.7
02-10-13,14:00:17,07:48:42,day,26.3,37.7
02-10-13,14:01:17,07:49:42,day,26.8,37.7
02-10-13,14:02:18,07:50:43,day,26.3,37.8
02-10-13,14:03:18,07:51:43,day,26.5,37.8
02-10-13,14:04:19,07:52:44,day,26.6,37.7
02-10-13,14:05:19,07:53:44,day,26.4,37.6
02-10-13,14:06:20,07:54:45,day,26.8,37.6
02-10-13,14:07:21,07:55:46,day,26.3,37.6
02-10-13,14:08:21,07:56:47,day,26.5,37.6
02-10-13,14:09:22,07:57:48,day,27.2,37.6
02-10-13,14:10:22,07:58:48,day,27.6,37.5
02-10-13,14:11:23,07:59:49,day,27.2,37.4
02-10-13,14:12:23,08:00:49,day,26.2,37.4
02-10-13,14:13:24,08:01:50,day,26.4,37.5
02-10-13,14:14:24,08:02:50,day,26.5,37.5
02-10-13,14:15:25,08:03:51,day,26.6,37.4
02-10-13,14:16:25,08:04:51,day,27.6,37.4
02-10-13,14:17:26,08:05:52,day,27.3,37.4
02-10-13,14:18:27,08:06:53,day,26.6,37.3
02-10-13,14:19:27,08:07:53,day,26.1,37.1
02-10-13,14:20:28,08:08:54,day,26.5,37
02-10-13,14:21:28,08:09:54,day,26.3,37.2
02-10-13,14:22:29,08:10:55,day,26.4,37.1
02-10-13,14:23:29,08:11:55,day,24.5,37.3
02-10-13,14:24:30,08:12:56,day,25.4,37.4
02-10-13,14:25:30,08:13:56,day,27.1,37.3
02-10-13,14:26:31,08:14:58,day,24.4,37.3
02-10-13,14:27:31,08:15:58,day,25.3,37.4
02-10-13,14:28:32,08:16:59,day,26.9,37.3
02-10-13,14:29:33,08:18:00,day,31.6,37.2
02-10-13,14:30:33,08:19:00,day,30.6,36.9
02-10-13,14:31:34,08:20:01,day,29.1,36.9
02-10-13,14:32:34,08:21:01,day,28.8,37.2
02-10-13,14:33:35,08:22:02,day,30.8,37.1
02-10-13,14:34:35,08:23:02,day,32.7,37
02-10-13,14:35:36,08:24:03,day,29.9,36.8
02-10-13,14:36:36,08:25:03,day,35.4,36.6
02-10-13,14:37:37,08:26:04,day,34.1,36.3
02-10-13,14:38:37,08:27:04,day,31.4,36.4
02-10-13,14:39:38,08:28:05,day,34.1,36.3
02-10-13,14:40:39,08:29:06,day,35.8,35.9
02-10-13,14:41:39,08:30:06,day,33.3,35.7
02-10-13,14:42:40,08:31:07,day,34.7,35.5
02-10-13,14:53:46,08:42:14,day,44.4,35.4
02-10-13,14:54:46,08:43:14,day,43.8,35.3
02-10-13,14:55:47,08:44:15,day,40.4,35.2
02-10-13,14:56:47,08:45:15,day,41.6,35.1
02-10-13,14:57:48,08:46:16,day,45.8,35
02-10-13,14:58:48,08:47:16,day,48.7,34.6
02-10-13,14:59:49,08:48:17,day,48.1,34.5
02-10-13,15:00:49,08:49:17,day,49.8,34.4
02-10-13,15:01:50,08:50:19,day,51.6,34.1
02-10-13,15:02:50,08:51:19,day,47.2,33.9
02-10-13,15:03:51,08:52:20,day,47.6,34.1
02-10-13,15:04:52,08:53:21,day,48.3,33.9
02-10-13,15:05:52,08:54:21,day,46.4,33.8
02-10-13,15:06:53,08:55:22,day,45.1,33.9
02-10-13,15:17:59,09:06:28,day,44.9,33.9
02-10-13,15:18:59,09:07:28,day,45.4,33.9
02-10-13,15:20:00,09:08:30,day,44.7,33.9
02-10-13,15:21:00,09:09:30,day,44.9,33.9
02-10-13,15:22:01,09:10:31,day,46.6,33.9
02-10-13,15:23:01,09:11:31,day,48.7,33.9
02-10-13,15:24:02,09:12:32,day,50.3,33.8
02-10-13,15:25:02,09:13:32,day,49.6,33.8
02-10-13,15:26:03,09:14:33,day,47.7,33.6
02-10-13,15:27:03,09:15:33,day,48,33.5
02-10-13,15:29:05,09:17:35,day,48.5,33.7
02-10-13,15:30:05,09:18:35,day,52.5,33.5
02-10-13,15:31:06,09:19:36,day,48.9,33.3
02-10-13,15:32:06,09:20:36,day,49.8,33.4
02-10-13,15:33:07,09:21:37,day,47.4,33.4
02-10-13,15:34:07,09:22:37,day,47.2,33.5
02-10-13,15:35:08,09:23:38,day,48.1,33.6
02-10-13,15:36:08,09:24:38,day,48.1,33.5
02-10-13,15:37:09,09:25:40,day,48.8,33.5
02-10-13,15:38:09,09:26:40,day,45,33.4
02-10-13,15:39:10,09:27:41,day,46.1,33.4
02-10-13,15:40:11,09:28:42,day,47.8,33.4
02-10-13,15:41:11,09:29:42,day,46.5,33.5
02-10-13,15:42:12,09:30:43,day,48.2,33.5
02-10-13,15:43:12,09:31:43,day,50.2,33.4
02-10-13,15:44:13,09:32:44,day,49.5,33.4
02-10-13,15:45:13,09:33:44,day,51.5,33.3
02-10-13,15:46:14,09:34:45,day,49.7,33.4
02-10-13,15:47:14,09:35:45,day,49.3,33.4
02-10-13,15:48:15,09:36:46,day,48,33.5
02-10-13,15:49:16,09:37:47,day,46,33.5
02-10-13,15:50:16,09:38:47,day,47.9,33.5
02-10-13,15:51:17,09:39:48,day,48.3,33.3
02-10-13,15:52:17,09:40:48,day,52.4,33.2
02-10-13,15:53:18,09:41:49,day,51.5,33
02-10-13,15:54:18,09:42:49,day,49.2,32.8
02-10-13,15:55:19,09:43:51,day,55.4,32.7
02-10-13,15:56:19,09:44:51,day,55.7,32.6
02-10-13,15:57:20,09:45:52,day,54.9,32.6
02-10-13,15:58:20,09:46:52,day,52.1,32.7
02-10-13,15:59:21,09:47:53,day,51.1,32.9
02-10-13,16:00:22,09:48:54,day,53.6,32.8
02-10-13,16:01:22,09:49:54,day,52.4,32.8
02-10-13,16:02:23,09:50:55,day,53,32.7
02-10-13,16:03:23,09:51:55,day,55.7,32.8
02-10-13,16:04:24,09:52:56,day,54.5,32.8
02-10-13,16:05:24,09:53:56,day,54.4,32.8
02-10-13,16:06:25,09:54:57,day,55.7,32.8
02-10-13,16:07:25,09:55:57,day,58,32.7
02-10-13,16:08:26,09:56:58,day,57.6,32.6
02-10-13,16:09:26,09:57:58,day,59.5,32.5
02-10-13,16:10:27,09:58:59,day,63.3,32.2
02-10-13,16:11:28,10:00:00,day,58.2,32
02-10-13,16:12:28,10:01:00,day,68.6,31.4
02-10-13,16:13:29,10:02:02,day,64.8,31.1
02-10-13,16:14:29,10:03:02,day,67.1,31.2
02-10-13,16:15:30,10:04:03,day,62.2,31.4
02-10-13,16:16:30,10:05:03,day,58.4,31.5
02-10-13,16:17:31,10:06:04,day,60.9,31.6
02-10-13,16:18:31,10:07:04,day,61.8,31.8
02-10-13,16:19:32,10:08:05,day,63.7,31.7
02-10-13,16:20:32,10:09:05,day,60.3,31.8
02-10-13,16:21:33,10:10:06,day,58.8,31.9
02-10-13,16:22:34,10:11:07,day,59.4,32
02-10-13,16:23:34,10:12:07,day,60.5,32
02-10-13,16:24:35,10:13:08,day,57.5,31.9
02-10-13,16:25:35,10:14:08,day,62.7,32.1
02-10-13,16:26:36,10:15:09,day,63.2,32
02-10-13,16:27:36,10:16:09,day,59.1,32
02-10-13,16:28:37,10:17:10,day,61.8,31.9
02-10-13,16:29:37,10:18:10,day,63.7,31.8
02-10-13,16:30:38,10:19:12,day,61,31.8
02-10-13,16:31:38,10:20:12,day,62.4,31.7
02-10-13,16:32:39,10:21:13,day,59.8,31.8
02-10-13,16:33:40,10:22:14,day,59.2,31.8
02-10-13,16:34:40,10:23:14,day,64.1,31.5
02-10-13,16:35:41,10:24:15,day,68.7,31.4
02-10-13,16:36:41,10:25:15,day,68.3,31.3
02-10-13,16:37:42,10:26:16,day,73.5,31.1
02-10-13,16:38:42,10:27:16,day,69.6,30.7
02-10-13,16:39:43,10:28:17,day,72.7,30.6
02-10-13,16:40:43,10:29:17,day,67.9,30.7
02-10-13,16:41:44,10:30:18,day,68,30.9
02-10-13,16:42:45,10:31:19,day,64.4,31
02-10-13,16:43:45,10:32:19,day,70.9,31.1
02-10-13,16:44:46,10:33:20,day,65.4,31.2
02-10-13,16:45:46,10:34:20,day,69.8,31.3
02-10-13,16:46:47,10:35:21,day,65.2,31.2
02-10-13,16:47:47,10:36:21,day,65.6,31.4
02-10-13,16:48:48,10:37:23,day,64,31.4
02-10-13,16:49:48,10:38:23,day,63.6,31.4
02-10-13,16:50:49,10:39:24,day,68.4,31.5
02-10-13,16:51:49,10:40:24,day,64.2,31.4
02-10-13,16:52:50,10:41:25,day,66.9,31.5
02-10-13,16:53:51,10:42:26,day,65.6,31.6
02-10-13,16:54:51,10:43:26,day,68.7,31.7
02-10-13,16:55:52,10:44:27,day,65.3,31.6
02-10-13,16:56:52,10:45:27,day,71.6,31.1
02-10-13,17:07:58,10:56:34,day,71.7,31.1
02-10-13,17:08:59,10:57:35,day,65.4,31.1
02-10-13,17:09:59,10:58:35,day,67.2,31.3
02-10-13,17:11:00,10:59:36,day,70.3,31.5
02-10-13,17:12:00,11:00:36,day,68.3,31.3
02-10-13,17:13:01,11:01:37,day,69.9,31.2
02-10-13,17:14:01,11:02:37,day,65.7,31.3
02-10-13,17:15:02,11:03:38,day,68.2,31.3
02-10-13,17:16:02,11:04:38,day,68.1,31.2
02-10-13,17:17:03,11:05:39,day,63.7,31.2
02-10-13,17:18:04,11:06:40,day,67.9,31.3
02-10-13,17:19:04,11:07:40,day,68.8,31.2
02-10-13,17:20:05,11:08:41,day,69.2,31.1
02-10-13,17:21:05,11:09:41,day,69.1,30.9
02-10-13,17:22:06,11:10:42,day,65.1,30.9
02-10-13,17:23:06,11:11:42,day,67.3,31.1
02-10-13,17:24:07,11:12:44,day,69.7,31
02-10-13,17:25:07,11:13:44,day,68.6,31.1
02-10-13,17:26:08,11:14:45,day,69.4,30.9
02-10-13,17:27:08,11:15:45,day,70.6,30.9
02-10-13,17:28:09,11:16:46,day,67.9,30.9
02-10-13,17:29:10,11:17:47,day,73.3,31
02-10-13,17:30:10,11:18:47,day,74.3,30.8
02-10-13,17:31:11,11:19:48,day,69.3,30.7
02-10-13,17:42:17,11:30:55,day,76.8,30.5
02-10-13,17:43:17,11:31:55,day,74.9,30.3
02-10-13,17:44:18,11:32:56,day,76.3,30.3
02-10-13,17:45:18,11:33:56,day,79.4,30.4
02-10-13,17:46:19,11:34:57,day,79.2,30.3
02-10-13,17:47:19,11:35:57,day,73.8,30.3
02-10-13,17:48:20,11:36:58,day,73.5,30.2
02-10-13,17:49:20,11:37:58,day,75.8,30.2
02-10-13,17:50:21,11:38:59,day,77.8,30.2
02-10-13,17:51:21,11:39:59,day,76.9,30.2
02-10-13,17:52:22,11:41:00,day,78.4,30.2
02-10-13,17:53:23,11:42:01,day,80,30.1
02-10-13,17:54:23,11:43:01,day,73.7,30.1
02-10-13,17:55:24,11:44:02,day,76.2,30.3
02-10-13,17:56:24,11:45:02,day,78.3,30.2
02-10-13,17:57:25,11:46:03,day,76.2,30.2
02-10-13,17:58:25,11:47:03,day,75.6,30.2
02-10-13,17:59:26,11:48:05,day,74.8,30.4
02-10-13,18:00:26,11:49:05,day,81.1,30.3
02-10-13,18:01:27,11:50:06,day,81.5,30
02-10-13,18:02:27,11:51:06,day,77.8,30.1
02-10-13,18:03:28,11:52:07,day,80.8,30.1
02-10-13,18:04:29,11:53:08,day,84,29.9
02-10-13,18:05:29,11:54:08,day,87.5,29.6
02-10-13,18:06:30,11:55:09,day,81.9,29.5
02-10-13,18:07:30,11:56:09,day,86.3,29.4
02-10-13,18:08:31,11:57:10,day,85.6,29.1
02-10-13,18:09:31,11:58:10,day,86,29.2
02-10-13,18:10:32,11:59:11,day,85.4,29.3
02-10-13,18:11:32,00:00:11,night,86.9,29.4
02-10-13,18:12:33,00:01:12,night,83.9,29.3
02-10-13,18:13:33,00:02:12,night,83.3,29.5
02-10-13,18:14:34,00:03:13,night,85.1,29.5
02-10-13,18:15:35,00:04:14,night,78.4,29.7
02-10-13,18:16:35,00:05:14,night,82.4,29.6
02-10-13,18:17:36,00:06:15,night,86.5,29.4
02-10-13,18:18:36,00:07:15,night,86.3,29.3
02-10-13,18:19:37,00:08:15,night,83,29.4
02-10-13,18:20:37,00:09:15,night,87.7,29.4
02-10-13,18:21:38,00:10:16,night,85.2,29.4
02-10-13,18:22:38,00:11:16,night,88.7,29.4
02-10-13,18:23:39,00:12:17,night,88.3,29.4
02-10-13,18:24:39,00:13:17,night,82,29.4
02-10-13,18:25:40,00:14:18,night,80,29.7
02-10-13,18:26:41,00:15:19,night,84.3,29.7
02-10-13,18:27:41,00:16:19,night,87.6,29.7
02-10-13,18:28:42,00:17:20,night,89.9,29.7
02-10-13,18:29:42,00:18:20,night,83.7,29.6
02-10-13,18:30:43,00:19:20,night,83.6,29.6
02-10-13,18:31:43,00:20:20,night,83.9,29.6
02-10-13,18:32:44,00:21:21,night,81.9,29.7
02-10-13,18:33:44,00:22:21,night,81.4,29.8
02-10-13,18:34:45,00:23:22,night,82.2,29.6
02-10-13,18:35:46,00:24:23,night,89.8,29.5
02-10-13,18:36:46,00:25:23,night,91.4,28.8
02-10-13,18:37:47,00:26:24,night,91.2,28.7
02-10-13,18:38:47,00:27:24,night,90.1,28.7
02-10-13,18:39:48,00:28:25,night,87.6,28.8
02-10-13,18:40:48,00:29:25,night,87.3,28.9
02-10-13,18:41:49,00:30:25,night,91.1,29
02-10-13,18:42:49,00:31:25,night,91.6,29
02-10-13,18:43:50,00:32:26,night,92.1,28.9
02-10-13,18:44:50,00:33:26,night,93.5,28.9
02-10-13,18:45:51,00:34:27,night,92.5,28.8
02-10-13,18:46:52,00:35:28,night,91.9,28.7
02-10-13,18:47:52,00:36:28,night,95,28.7
02-10-13,18:48:53,00:37:29,night,90.7,28.7
02-10-13,18:49:53,00:38:29,night,93.1,28.9
02-10-13,18:50:54,00:39:30,night,93.6,28.9
02-10-13,18:51:54,00:40:30,night,91.6,28.8
02-10-13,18:52:55,00:41:30,night,93.4,28.9
02-10-13,18:53:55,00:42:30,night,91.1,29
02-10-13,18:54:56,00:43:31,night,87.7,29
02-10-13,18:55:56,00:44:31,night,86.4,29.2
02-10-13,18:56:57,00:45:32,night,89.5,29.2
02-10-13,18:57:58,00:46:33,night,93.9,29.1
02-10-13,18:58:58,00:47:33,night,92.5,29.1
02-10-13,18:59:59,00:48:34,night,95.5,29
02-10-13,19:00:59,00:49:34,night,88.9,28.9
02-10-13,19:02:00,00:50:35,night,93.1,28.8
02-10-13,19:03:00,00:51:35,night,89.7,28.9
02-10-13,19:04:01,00:52:36,night,94.7,29
02-10-13,19:05:01,00:53:35,night,95.6,29
02-10-13,19:06:02,00:54:36,night,95.1,28.9
02-10-13,19:07:02,00:55:36,night,93.4,28.9
02-10-13,19:08:03,00:56:37,night,91.5,29
02-10-13,19:09:04,00:57:38,night,89.7,29
02-10-13,19:10:04,00:58:38,night,89.6,29.1
02-10-13,19:11:05,00:59:39,night,92.6,29
02-10-13,19:12:05,01:00:39,night,93.2,29
02-10-13,19:13:06,01:01:40,night,93.5,29
02-10-13,19:14:06,01:02:40,night,93.4,29
02-10-13,19:15:07,01:03:41,night,90,29.2
02-10-13,19:16:07,01:04:40,night,95.2,29.2
02-10-13,19:17:08,01:05:41,night,94.4,29.1
02-10-13,19:18:08,01:06:41,night,96.3,29.1
02-10-13,19:19:09,01:07:42,night,94.2,28.9
02-10-13,19:30:15,01:18:47,night,99.9,28.6
02-10-13,19:31:15,01:19:47,night,99.9,28.4
02-10-13,19:32:16,01:20:48,night,99.9,28.3
02-10-13,19:33:17,01:21:49,night,99.9,28.3
02-10-13,19:34:17,01:22:49,night,99.9,28.5
02-10-13,19:35:18,01:23:50,night,99.9,28.3
02-10-13,19:36:18,01:24:50,night,99.9,28.4
02-10-13,19:37:19,01:25:51,night,98.6,28.8
02-10-13,19:38:19,01:26:50,night,99.9,28.8
02-10-13,19:39:20,01:27:51,night,99.9,28.7
02-10-13,19:40:20,01:28:51,night,99.9,28.5
02-10-13,19:41:21,01:29:52,night,99.9,28.3
02-10-13,19:42:21,01:30:52,night,99.9,28.2
02-10-13,19:43:22,01:31:53,night,99.9,28.2
02-10-13,19:44:23,01:32:54,night,99.9,28
02-10-13,19:45:23,01:33:54,night,99.9,28
02-10-13,19:46:24,01:34:55,night,99.9,28.1
02-10-13,19:47:24,01:35:55,night,99.9,27.9
02-10-13,19:48:25,01:36:56,night,99.9,27.9
02-10-13,19:49:25,01:37:55,night,99.9,27.9
02-10-13,19:50:26,01:38:56,night,99.9,27.9
02-10-13,19:51:26,01:39:56,night,99.9,28
02-10-13,19:52:27,01:40:57,night,99.9,28.1
02-10-13,19:53:27,01:41:57,night,99.9,28.1
02-10-13,19:54:28,01:42:58,night,99.9,28.2
02-10-13,19:55:29,01:43:59,night,99.9,28.1
02-10-13,19:56:29,01:44:59,night,99.9,28.2
02-10-13,19:57:30,01:46:00,night,99.9,28.2
02-10-13,19:58:30,01:47:00,night,99.9,28.2
02-10-13,19:59:31,01:48:01,night,99.9,28.2
02-10-13,20:00:31,01:49:01,night,99.9,28.1
02-10-13,20:01:32,01:50:01,night,99.9,28.1
02-10-13,20:02:32,01:51:01,night,99.9,28.2
02-10-13,20:03:33,01:52:02,night,99.9,28.2
02-10-13,20:04:34,01:53:03,night,99.9,28.2
02-10-13,20:05:34,01:54:03,night,99.9,28.2
